language,word_count,subword_count,subword_word_ratio
English,14,18,1.2857142857142858
English,9,13,1.4444444444444444
English,14,18,1.2857142857142858
English,13,18,1.3846153846153846
English,18,24,1.3333333333333333
English,13,18,1.3846153846153846
English,19,38,2.0
English,20,38,1.9
English,21,40,1.9047619047619047
English,36,53,1.4722222222222223
English,32,50,1.5625
English,36,56,1.5555555555555556
English,24,32,1.3333333333333333
English,28,34,1.2142857142857142
English,37,46,1.2432432432432432
English,20,23,1.15
English,24,27,1.125
English,18,21,1.1666666666666667
English,10,13,1.3
English,13,18,1.3846153846153846
English,10,15,1.5
English,46,56,1.2173913043478262
English,38,47,1.236842105263158
English,41,53,1.2926829268292683
English,37,41,1.1081081081081081
English,41,45,1.0975609756097562
English,36,42,1.1666666666666667
English,23,34,1.4782608695652173
English,24,35,1.4583333333333333
English,22,33,1.5
English,18,28,1.5555555555555556
English,23,34,1.4782608695652173
English,20,34,1.7
English,33,46,1.393939393939394
English,41,54,1.3170731707317074
English,35,49,1.4
English,42,48,1.1428571428571428
English,38,43,1.131578947368421
English,36,43,1.1944444444444444
English,41,53,1.2926829268292683
English,43,53,1.2325581395348837
English,41,52,1.2682926829268293
English,22,26,1.1818181818181819
English,21,23,1.0952380952380953
English,29,32,1.103448275862069
English,16,24,1.5
English,16,22,1.375
English,16,24,1.5
English,23,29,1.2608695652173914
English,22,28,1.2727272727272727
English,27,33,1.2222222222222223
English,32,40,1.25
English,37,43,1.162162162162162
English,29,35,1.206896551724138
English,24,34,1.4166666666666667
English,25,34,1.36
English,27,36,1.3333333333333333
English,31,38,1.2258064516129032
English,28,34,1.2142857142857142
English,27,33,1.2222222222222223
English,34,42,1.2352941176470589
English,36,42,1.1666666666666667
English,35,41,1.1714285714285715
English,30,35,1.1666666666666667
English,32,39,1.21875
English,34,39,1.1470588235294117
English,17,20,1.1764705882352942
English,21,25,1.1904761904761905
English,18,22,1.2222222222222223
English,24,32,1.3333333333333333
English,26,35,1.3461538461538463
English,23,32,1.391304347826087
English,37,42,1.135135135135135
English,33,38,1.1515151515151516
English,36,41,1.1388888888888888
English,12,16,1.3333333333333333
English,13,18,1.3846153846153846
English,12,17,1.4166666666666667
English,27,32,1.1851851851851851
English,30,34,1.1333333333333333
English,28,32,1.1428571428571428
English,20,22,1.1
English,18,20,1.1111111111111112
English,20,24,1.2
English,17,26,1.5294117647058822
English,23,29,1.2608695652173914
English,20,30,1.5
English,27,32,1.1851851851851851
English,25,31,1.24
English,24,30,1.25
English,33,46,1.393939393939394
English,39,52,1.3333333333333333
English,35,46,1.3142857142857143
English,40,46,1.15
English,40,46,1.15
English,42,49,1.1666666666666667
English,37,52,1.4054054054054055
English,35,46,1.3142857142857143
English,37,51,1.3783783783783783
English,33,41,1.2424242424242424
English,39,48,1.2307692307692308
English,46,55,1.1956521739130435
English,18,26,1.4444444444444444
English,16,22,1.375
English,17,23,1.3529411764705883
English,40,52,1.3
English,42,55,1.3095238095238095
English,42,54,1.2857142857142858
English,34,40,1.1764705882352942
English,31,35,1.1290322580645162
